Sector,Area,Date,Number of Projects,Investment Fund (USD)
Agriculture & Agro-Industry,,January 2023,,
Agriculture & Agro-Industry,,February 2023,,
Industry,Outside SEZ,January 2023,10,95608181
Industry,Inside SEZ,January 2023,6,38884590
Industry,Outside SEZ,February 2023,14,89436147
Industry,Inside SEZ,February 2023,1,5086957
Tourism,,January 2023,,
Tourism,,February 2023,,
Infrastructure & others,,January 2023,,
Infrastructure & others,,February 2023,,
Agriculture & Agro-Industry,,January 2023,,
Agriculture & Agro-Industry,,February 2024,3,54266375
Industry,Outside SEZ,February 2024,17,148584174
Industry,Inside SEZ,February 2024,13,308349476
Industry,Outside SEZ,February 2024,17,148584174
Industry,Inside SEZ,February 2024,13,308349476
Tourism,,February 2024,,
Tourism,,February 2024,,
Infrastructure & others,,January 2024,,
Infrastructure & others,,February 2024,4,687472942
