Date,Special Economics Zone, No. Project, Investment Fund
January 2024,ក្រុងព្រះសីហនុ,7,32200000
January 2024,តាយ សេង បាវិត,1,6620655
January 2024,សានដុង សាន់សែល ស្វាយរៀង,1,6086475
January 2024,មេនហាតធេន ស្វាយរៀង,1,5786835
February 2024,ហ្គីហ្គា រីសស៍, 4, 50393784
February 2024,ក្រុងព្រះសីហនុ, 1, 12043569
February 2024,ជាំងស៊ូ ផ្លូវជាតិលេខ៦, 1, 2310818
February 2024,ហ្គ្រេន បូកគោ, 1, 5350558
February 2024,មេនហាតធេន ស្វាយរៀង, 2, 6200000
February 2024,តាយ សេង បាវិត, 2, 11346360
February 2024,ស៊ីន បាវិត, 2, 7764387
February 2024,ឈីលូ ជាន ពុ ចាយ, 1, 212940000




